episode: 285 | reward: 7.0 | average reward: 3.407017543859649 | loss: 0.13031408111583043
episode: 286 | reward: 3.0 | average reward: 3.4195804195804196 | loss: 0.13332480646576922
episode: 287 | reward: 6.0 | average reward: 3.418118466898955 | loss: 0.09169597413213401
episode: 288 | reward: 2.0 | average reward: 3.4270833333333335 | loss: 0.11647501699544449
episode: 289 | reward: 2.0 | average reward: 3.422145328719723 | loss: 0.0936989695912175
episode: 290 | reward: 2.0 | average reward: 3.4172413793103447 | loss: 0.12958085781387305
episode: 291 | reward: 1.0 | average reward: 3.4123711340206184 | loss: 0.10144966432842203
episode: 292 | reward: 6.0 | average reward: 3.404109589041096 | loss: 0.0992493413127088
episode: 293 | reward: 5.0 | average reward: 3.4129692832764507 | loss: 0.13008494189581937
episode: 294 | reward: 7.0 | average reward: 3.4183673469387754 | loss: 0.12078503585536593
episode: 295 | reward: 5.0 | average reward: 3.4305084745762713 | loss: 0.08148319644873864
episode: 296 | reward: 0.0 | average reward: 3.435810810810811 | loss: 0.11250252605528763
episode: 297 | reward: 3.0 | average reward: 3.4242424242424243 | loss: 0.11771172046656793
episode: 298 | reward: 0.0 | average reward: 3.422818791946309 | loss: 0.09481508660053553
episode: 299 | reward: 5.0 | average reward: 3.411371237458194 | loss: 0.10729730733340075
episode: 300 | reward: 2.0 | average reward: 3.4166666666666665 | loss: 0.09218631366976568
episode: 301 | reward: 4.0 | average reward: 3.4119601328903655 | loss: 0.08714871556201337
episode: 302 | reward: 1.0 | average reward: 3.4139072847682117 | loss: 0.11401233160620408
episode: 303 | reward: 4.0 | average reward: 3.405940594059406 | loss: 0.08140499019551602
episode: 304 | reward: 2.0 | average reward: 3.4078947368421053 | loss: 0.11208128957991637
episode: 305 | reward: 1.0 | average reward: 3.40327868852459 | loss: 0.12369709026137209
episode: 306 | reward: 3.0 | average reward: 3.395424836601307 | loss: 0.1171408466491062
episode: 307 | reward: 2.0 | average reward: 3.3941368078175898 | loss: 0.11684411418967271
episode: 308 | reward: 4.0 | average reward: 3.3896103896103895 | loss: 0.12690864021800174
episode: 309 | reward: 4.0 | average reward: 3.3915857605177995 | loss: 0.10867997212067176
episode: 310 | reward: 1.0 | average reward: 3.393548387096774 | loss: 0.09108341855554104
episode: 311 | reward: 3.0 | average reward: 3.3858520900321545 | loss: 0.12259341204271638
episode: 312 | reward: 3.0 | average reward: 3.3846153846153846 | loss: 0.11595017302084323
episode: 313 | reward: 2.0 | average reward: 3.3833865814696487 | loss: 0.11935536344906264
episode: 314 | reward: 0.0 | average reward: 3.378980891719745 | loss: 0.11707356359085566
episode: 315 | reward: 1.0 | average reward: 3.3682539682539683 | loss: 0.10990916965416854
episode: 316 | reward: 2.0 | average reward: 3.3607594936708862 | loss: 0.1232812951160519
episode: 317 | reward: 2.0 | average reward: 3.356466876971609 | loss: 0.096362181599719
episode: 318 | reward: 4.0 | average reward: 3.352201257861635 | loss: 0.10633757545348113
episode: 319 | reward: 0.0 | average reward: 3.35423197492163 | loss: 0.09720569805655555
episode: 320 | reward: 2.0 | average reward: 3.34375 | loss: 0.10962485839520325
episode: 321 | reward: 1.0 | average reward: 3.339563862928349 | loss: 0.09234520161236554
episode: 322 | reward: 4.0 | average reward: 3.3322981366459627 | loss: 0.10696776075154185
episode: 323 | reward: 0.0 | average reward: 3.3343653250773992 | loss: 0.09998355685377136
